2017-11-21 10:38:17,877 | INFO | DefaultCamelContext.java 2905 | Apache Camel 2.18.3 (CamelContext: camel-1) is starting
2017-11-21 10:38:17,882 | INFO | ManagedManagementStrategy.java 191 | JMX is enabled
2017-11-21 10:38:18,226 | INFO | DefaultTypeConverter.java 56 | Loaded 189 type converters
2017-11-21 10:38:18,273 | INFO | DefaultRuntimeEndpointRegistry.java 203 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
2017-11-21 10:38:18,505 | INFO | DefaultCamelContext.java 3152 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
2017-11-21 10:38:18,509 | INFO | FileEndpoint.java 104 | Endpoint is configured with noop=true so forcing endpoint to be idempotent as well
2017-11-21 10:38:18,510 | INFO | FileEndpoint.java 110 | Using default memory based idempotent repository with cache max size: 1000
2017-11-21 10:38:18,623 | INFO | DefaultCamelContext.java 3693 | Route: route1 started and consuming from: file://data/input?noop=true
2017-11-21 10:38:18,624 | INFO | DefaultCamelContext.java 2947 | Total 1 routes, of which 1 are started.
2017-11-21 10:38:18,627 | INFO | DefaultCamelContext.java 2948 | Apache Camel 2.18.3 (CamelContext: camel-1) started in 0.750 seconds
2017-11-21 10:38:19,662 | INFO | CamelLogger.java 159 | Received Message is hi there how r yyuo?
2017-11-21 10:38:19,688 | INFO | CamelLogger.java 159 | Received Message is I am fine thanku!!
2017-11-21 10:38:23,632 | INFO | DefaultCamelContext.java 3173 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutting down
2017-11-21 10:38:23,633 | INFO | DefaultShutdownStrategy.java 196 | Starting to graceful shutdown 1 routes (timeout 300 seconds)
2017-11-21 10:38:23,646 | INFO | DefaultShutdownStrategy.java 669 | Route: route1 shutdown complete, was consuming from: file://data/input?noop=true
2017-11-21 10:38:23,646 | INFO | DefaultShutdownStrategy.java 260 | Graceful shutdown of 1 routes completed in 0 seconds
2017-11-21 10:38:23,685 | INFO | DefaultCamelContext.java 3262 | Apache Camel 2.18.3 (CamelContext: camel-1) uptime 5.811 seconds
2017-11-21 10:38:23,685 | INFO | DefaultCamelContext.java 3263 | Apache Camel 2.18.3 (CamelContext: camel-1) is shutdown in 0.053 seconds
